,title,published_date,img_url,image_url
41,A COURT OF THORNS AND ROSES,2025-01-05,,https://storage.googleapis.com/du-prd/books/images/9781619634459.jpg
1161,IRON FLAME,2025-01-05,,https://storage.googleapis.com/du-prd/books/images/9781649374172.jpg
3301,WICKED,2025-01-05,,https://storage.googleapis.com/du-prd/books/images/9780061792946.jpg
2505,THE HOUSEMAID,2025-01-05,,https://storage.googleapis.com/du-prd/books/images/9781538742570.jpg
2499,THE HOUSE OF CROSS,2025-01-05,,https://storage.googleapis.com/du-prd/books/images/9780316402682.jpg
1170,IT STARTS WITH US,2025-01-05,,https://storage.googleapis.com/du-prd/books/images/9781668001226.jpg
3003,THE WOMEN,2025-01-05,,https://storage.googleapis.com/du-prd/books/images/9781250178633.jpg
1178,JAMES,2025-01-05,,https://storage.googleapis.com/du-prd/books/images/9780385550369.jpg
1712,QUICKSILVER,2025-01-05,,https://storage.googleapis.com/du-prd/books/images/9780515150568.jpg
1168,IT ENDS WITH US,2025-01-05,,https://storage.googleapis.com/du-prd/books/images/9781501110375.jpg
2412,THE FROZEN RIVER,2025-01-05,,https://storage.googleapis.com/du-prd/books/images/9780593312070.jpg
2439,THE GOD OF THE WOODS,2025-01-05,,https://storage.googleapis.com/du-prd/books/images/9780593418918.jpg
3331,WIND AND TRUTH,2025-01-05,,https://storage.googleapis.com/du-prd/books/images/9781250319180.jpg
920,FOURTH WING,2025-01-05,,https://storage.googleapis.com/du-prd/books/images/9781649374042.jpg
547,COUNTING MIRACLES,2025-01-05,,https://storage.googleapis.com/du-prd/books/images/9780593449592.jpg
2968,THE WEDDING PEOPLE,2024-12-29,,https://storage.googleapis.com/du-prd/books/images/9781250899576.jpg
3063,TO DIE FOR,2024-12-29,,https://s1.nyt.com/du/books/images/default-image.png
1975,SMALL THINGS LIKE THESE,2024-12-29,,https://storage.googleapis.com/du-prd/books/images/9780802158741.jpg
2697,THE NIGHTINGALE,2024-12-22,,https://storage.googleapis.com/du-prd/books/images/9781466850606.jpg
3079,TOM CLANCY: DEFENSE PROTOCOL,2024-12-22,,https://storage.googleapis.com/du-prd/books/images/9780593717981.jpg
182,ALL THE COLORS OF THE DARK,2024-12-22,,https://storage.googleapis.com/du-prd/books/images/9780593798874.jpg
1539,NOW OR NEVER,2024-12-22,,https://storage.googleapis.com/du-prd/books/images/9781668003138.jpg
2743,THE PERFECT MARRIAGE,2024-12-15,,https://storage.googleapis.com/du-prd/books/images/9798874866358.jpg
2252,THE BOYFRIEND,2024-12-15,,https://storage.googleapis.com/du-prd/books/images/9781728296227.jpg
3211,VERITY,2024-12-15,,https://storage.googleapis.com/du-prd/books/images/9781791392796.jpg
2659,THE MIRROR,2024-12-15,,https://storage.googleapis.com/du-prd/books/images/9781250288776.jpg
2865,THE SONGBIRD & THE HEART OF STONE,2024-12-08,,https://storage.googleapis.com/du-prd/books/images/9781250367785.jpg
2292,THE CITY AND ITS UNCERTAIN WALLS,2024-12-08,,https://storage.googleapis.com/du-prd/books/images/9780593801970.jpg
3120,TRIAL BY FIRE,2024-12-08,,https://storage.googleapis.com/du-prd/books/images/9780593498583.jpg
1140,IN TOO DEEP,2024-12-08,,https://storage.googleapis.com/du-prd/books/images/9780593725801.jpg
500,CLIVE CUSSLER: DESOLATION CODE,2024-12-01,,https://storage.googleapis.com/du-prd/books/images/9780593719206.jpg
2458,THE GREY WOLF,2024-12-01,,https://storage.googleapis.com/du-prd/books/images/9781250328137.jpg
1282,LIGHTS OUT,2024-12-01,,https://storage.googleapis.com/du-prd/books/images/9781638932239.jpg
1086,HOW MY NEIGHBOR STOLE CHRISTMAS,2024-12-01,,https://storage.googleapis.com/du-prd/books/images/9781464230158.jpg
2955,THE WAITING,2024-11-24,,https://storage.googleapis.com/du-prd/books/images/9780316563796.jpg
1038,HEXED,2024-11-24,,https://storage.googleapis.com/du-prd/books/images/9781728275864.jpg
1319,LOST AND LASSOED,2024-11-24,,https://storage.googleapis.com/du-prd/books/images/9780593732458.jpg
3048,THRONE OF SECRETS,2024-11-17,,https://storage.googleapis.com/du-prd/books/images/9780316580946.jpg
2507,THE HOUSEMAID'S SECRET,2024-11-17,,https://storage.googleapis.com/du-prd/books/images/9780349132617.jpg
2886,THE STRIKER,2024-11-17,,https://storage.googleapis.com/du-prd/books/images/9781101592663.jpg
2225,THE BLUE HOUR,2024-11-17,,https://storage.googleapis.com/du-prd/books/images/9780063396524.jpg
2414,THE FURY OF THE GODS,2024-11-10,,https://storage.googleapis.com/du-prd/books/images/9780316539951.jpg
1034,HERE ONE MOMENT,2024-11-10,,https://storage.googleapis.com/du-prd/books/images/9780593798607.jpg
134,ABSOLUTION,2024-11-10,,https://storage.googleapis.com/du-prd/books/images/9780374616595.jpg
371,BLOODGUARD,2024-11-10,,https://storage.googleapis.com/du-prd/books/images/9781649374059.jpg
1151,INTERMEZZO,2024-11-03,,https://storage.googleapis.com/du-prd/books/images/9780374602635.jpg
33,A CHRISTMAS DUET,2024-11-03,,https://storage.googleapis.com/du-prd/books/images/9780593725337.jpg
2506,THE HOUSEMAID IS WATCHING,2024-11-03,,https://storage.googleapis.com/du-prd/books/images/9781464221132.jpg
1270,LIES HE TOLD ME,2024-10-27,,https://storage.googleapis.com/du-prd/books/images/9780316403894.jpg
2571,THE LAST ONE AT THE WEDDING,2024-10-27,,https://storage.googleapis.com/du-prd/books/images/9781250895783.jpg
1115,IDENTITY UNKNOWN,2024-10-27,,https://storage.googleapis.com/du-prd/books/images/9781538770382.jpg
2874,THE STARS ARE DYING,2024-10-27,,https://storage.googleapis.com/du-prd/books/images/9781250355669.jpg
681,DEMON COPPERHEAD,2024-10-27,,https://storage.googleapis.com/du-prd/books/images/9780063251922.jpg
3121,TRIANGLE,2024-10-20,,https://storage.googleapis.com/du-prd/books/images/9780593498552.jpg
3282,WHEN THE MOON HATCHED,2024-10-20,,https://storage.googleapis.com/du-prd/books/images/9780063415843.jpg
278,BEACH READ,2024-10-20,,https://storage.googleapis.com/du-prd/books/images/9781984806734.jpg
971,GOLDFINCH,2024-10-13,,https://storage.googleapis.com/du-prd/books/images/9781464224461.jpg
2135,TELL ME EVERYTHING,2024-10-13,,https://storage.googleapis.com/du-prd/books/images/9780593446096.jpg
1663,PLAYGROUND,2024-10-13,,https://storage.googleapis.com/du-prd/books/images/9781324086031.jpg
39,A COURT OF MIST AND FURY,2024-10-13,,https://storage.googleapis.com/du-prd/books/images/9781635575583.jpg
3261,WE SOLVE MURDERS,2024-10-06,,https://storage.googleapis.com/du-prd/books/images/9780593653227.jpg
2695,THE NIGHT WE LOST HIM,2024-10-06,,https://storage.googleapis.com/du-prd/books/images/9781668002933.jpg
2740,THE PERFECT COUPLE,2024-10-06,,https://storage.googleapis.com/du-prd/books/images/9780316375269.jpg
2264,THE BUTCHER GAME,2024-10-06,,https://storage.googleapis.com/du-prd/books/images/9781638931249.jpg
2416,THE GAMES GODS PLAY,2024-09-29,,https://storage.googleapis.com/du-prd/books/images/9781649376565.jpg
3218,VINCE FLYNN: CAPTURE OR KILL,2024-09-29,,https://storage.googleapis.com/du-prd/books/images/9781668045831.jpg
2588,THE LIFE IMPOSSIBLE,2024-09-29,,https://storage.googleapis.com/du-prd/books/images/9780593489277.jpg
2007,SOMEWHERE BEYOND THE SEA,2024-09-29,,https://storage.googleapis.com/du-prd/books/images/9781250881205.jpg
642,DAYDREAM,2024-09-22,,https://storage.googleapis.com/du-prd/books/images/9781668026250.jpg
1641,PASSIONS IN DEATH,2024-09-22,,https://storage.googleapis.com/du-prd/books/images/9781250289568.jpg
2320,THE CURSED,2024-09-22,,https://storage.googleapis.com/du-prd/books/images/9781250358943.jpg
3316,WILD EYES,2024-09-22,,https://storage.googleapis.com/du-prd/books/images/9781464220821.jpg
2325,THE DARK WIVES,2024-09-15,,https://storage.googleapis.com/du-prd/books/images/9781250836847.jpg
432,BY ANY OTHER NAME,2024-09-15,,https://storage.googleapis.com/du-prd/books/images/9780593497210.jpg
324,BETRAYAL ROAD,2024-09-08,,https://storage.googleapis.com/du-prd/books/images/9780593638798.jpg
3088,TOM CLANCY: SHADOW STATE,2024-09-08,,https://storage.googleapis.com/du-prd/books/images/9780593717950.jpg
3027,THIS IS WHY WE LIED,2024-09-08,,https://storage.googleapis.com/du-prd/books/images/9780063336728.jpg
2021,SPIRIT CROSSING,2024-09-08,,https://storage.googleapis.com/du-prd/books/images/9781982179267.jpg
