,runnerId,age,gender,countryCode,racesCount,Usa citizen
0,41771195,35,M,NLD,4,0
1,41775746,35,M,KEN,2,0
2,41766254,30,M,KEN,5,0
3,41763160,33,M,ETH,4,0
4,41757406,31,M,KEN,5,0
5,41772970,27,M,USA,2,1
6,41766336,31,M,USA,3,1
7,41787073,30,M,KEN,2,0
8,41805730,35,M,BEL,1,0
9,41805729,31,M,USA,1,1
10,41776015,27,M,USA,2,1
11,41805732,29,M,USA,1,1
12,41772969,29,M,USA,3,1
13,41753910,37,M,GBR,4,0
14,41769644,28,M,USA,4,1
15,41805735,28,M,USA,1,1
16,41760779,31,M,USA,4,1
17,41805739,31,M,USA,1,1
18,41771194,41,M,USA,4,1
19,41805728,38,M,USA,1,1
20,41758754,29,M,USA,15,1
21,41805733,20,M,ETH,1,0
22,41760248,32,M,GBR,5,0
23,41805734,34,M,USA,1,1
24,41796553,25,M,USA,6,1
25,41788918,26,M,USA,1,1
26,41783632,28,M,USA,9,1
27,41805391,32,M,USA,1,1
28,41790783,24,M,USA,1,1
29,41805731,43,M,JPN,1,0
30,41790611,38,M,RUS,1,0
31,41760247,36,M,USA,9,1
32,41765016,28,M,USA,31,1
33,41786816,28,M,USA,1,1
34,41787470,29,M,USA,1,1
35,41788830,39,M,USA,1,1
36,41769710,27,M,GBR,1,0
37,41792107,32,M,SWE,1,0
38,41793284,36,M,COL,1,0
39,41763860,32,M,DEU,1,0
40,41766325,34,M,USA,6,1
41,41790725,35,M,USA,1,1
42,41757208,32,M,USA,25,1
43,41786334,33,M,USA,1,1
44,41789591,36,M,FRA,1,0
45,41761514,29,M,USA,2,1
46,41788306,32,M,USA,1,1
47,41763461,30,M,USA,3,1
48,41762793,31,M,USA,2,1
49,41772636,30,M,FRA,1,0
50,41766335,29,M,USA,7,1
51,41791110,27,M,USA,1,1
52,41778343,29,M,MEX,2,0
53,41760096,31,M,USA,5,1
54,41774827,33,W,KEN,2,0
55,41786517,23,M,USA,1,1
56,41775743,34,W,USA,5,1
57,41760258,33,M,USA,2,1
58,41787475,31,M,USA,1,1
59,41762489,41,W,KEN,2,0
60,41788881,29,M,USA,1,1
61,41771130,28,M,USA,33,1
62,41787305,32,M,USA,1,1
63,41805740,31,W,ITA,1,0
64,41767914,30,M,USA,1,1
65,41783647,43,M,ITA,2,0
66,41787066,33,W,CHE,2,0
67,41774565,29,M,USA,1,1
68,41790802,25,M,USA,1,1
69,41791065,26,M,USA,1,1
70,41754929,38,W,USA,7,1
71,41772548,34,M,USA,2,1
72,41790820,26,M,USA,1,1
73,41765600,29,W,ETH,7,0
74,41760635,43,M,USA,5,1
75,41763238,32,W,USA,5,1
76,41784648,24,M,USA,1,1
77,41763227,35,M,USA,30,1
78,41805738,34,M,JPN,1,0
79,41778730,24,M,USA,1,1
80,41805674,37,M,USA,1,1
81,41772972,30,W,USA,6,1
82,41787207,36,M,USA,1,1
83,41760824,38,W,USA,9,1
84,41768392,30,M,USA,1,1
85,41775445,25,M,USA,6,1
86,41791476,34,M,USA,1,1
87,41769022,27,M,USA,1,1
88,41775464,32,M,USA,13,1
89,41789502,30,M,USA,1,1
90,41790712,39,M,LTU,1,0
91,41786300,27,M,USA,1,1
92,41751349,39,M,USA,43,1
93,41781140,35,M,USA,1,1
94,41757881,39,M,GBR,3,0
95,41791143,28,M,USA,1,1
96,41757400,36,M,USA,47,1
97,41764123,44,M,IRL,2,0
98,41783716,23,M,USA,2,1
99,41771829,32,M,USA,2,1
100,41772686,23,M,USA,1,1
101,41790169,42,M,USA,1,1
102,41787719,27,M,USA,1,1
103,41780236,25,M,USA,5,1
104,41802540,41,M,EST,1,0
105,41784738,41,M,GBR,1,0
106,41779663,29,M,IRL,1,0
107,41790480,25,M,USA,1,1
108,41753353,41,W,USA,30,1
109,41757425,33,M,USA,27,1
110,41790959,25,M,USA,1,1
111,41805272,29,M,USA,1,1
112,41769186,33,M,USA,1,1
113,41776237,27,M,USA,4,1
114,41787749,34,M,CAN,1,0
115,41763118,29,M,USA,26,1
116,41752968,44,W,USA,21,1
117,41790013,31,M,NLD,1,0
118,41783546,27,M,USA,8,1
