Destination,Location code of destination,Origin,Location code of origin,jul1990,jul1995,jul2000,jul2005,jul2010,jul2015,jul2020,jul2024
Australia and New Zealand,1836,Australia and New Zealand,1836,312024.0,358418,422236,485874,583192,644147,664403,677217
Australia and New Zealand,1836,Eastern Africa,910,41276.0,51257,60938,87276,123529,156167,174947,187694
Australia and New Zealand,1836,Middle Africa,911,572.0,731,989,1695,4348,7082,10655,12328
Australia and New Zealand,1836,Northern Africa,912,42052.0,44495,46260,61688,72562,71639,73796,72606
Australia and New Zealand,1836,Southern Africa,913,54024.0,70583,106098,155667,208529,243321,286425,319559
Australia and New Zealand,1836,Western Africa,914,2392.0,3429,4791,8939,17008,24534,31839,38775
Australia and New Zealand,1836,Central Asia,5500,324.0,515,1053,1812,3043,4501,5711,6563
Australia and New Zealand,1836,Eastern Asia,906,235275.0,314916,390300,556892,759198,991567,1171756,1230801
Australia and New Zealand,1836,Southern Asia,5501,140029.0,187741,236195,358642,657057,960775,1449497,1819132
Australia and New Zealand,1836,South-Eastern Asia,920,412108.0,507419,569239,665936,848331,1022374,1260471,1415388
Australia and New Zealand,1836,Western Asia,922,152184.0,172489,197300,226835,265465,302434,364278,387146
Australia and New Zealand,1836,Eastern Europe,923,170799.0,175253,171624,172244,171053,174909,173876,170243
Australia and New Zealand,1836,Northern Europe,924,1448098.0,1478448,1451348,1466922,1563737,1614470,1575806,1504033
Australia and New Zealand,1836,Southern Europe,925,677383.0,671612,655324,648704,619481,594101,541128,481567
Australia and New Zealand,1836,Western Europe,926,294674.0,305756,303916,313973,323608,319240,305843,282747
Australia and New Zealand,1836,Caribbean,915,3528.0,3858,4244,4710,5200,6063,6271,6361
Australia and New Zealand,1836,Central America,916,13160.0,13635,13770,14551,16522,19324,21837,23537
Australia and New Zealand,1836,South America,931,61656.0,66576,69612,80123,105601,139139,202834,257147
Australia and New Zealand,1836,Northern America,905,88584.0,101108,111205,133499,160509,193123,211641,218010
Australia and New Zealand,1836,Australia and New Zealand,927,312024.0,358418,422236,485874,583192,644147,664403,677217
Australia and New Zealand,1836,Melanesia,928,73749.0,86883,100855,121920,145900,168853,183598,207192
Australia and New Zealand,1836,Micronesia,954,1322.0,1419,1487,1914,2559,3275,4260,5523
Australia and New Zealand,1836,Polynesia,957,90262.0,96668,111532,122555,129915,144580,162153,178569
Eastern Africa,910,Australia and New Zealand,1836,285.0,277,271,342,473,463,570,689
Eastern Africa,910,Eastern Africa,910,4706319.0,3448205,2970371,2698589,2773397,3778047,4597557,5015761
Eastern Africa,910,Middle Africa,911,353700.0,435016,731719,775273,802269,1042431,1379346,1555293
Eastern Africa,910,Northern Africa,912,117912.0,262558,309238,356155,127721,706443,755833,855201
Eastern Africa,910,Southern Africa,913,36745.0,47087,50491,59456,63927,63506,66040,69786
Eastern Africa,910,Western Africa,914,5468.0,6948,7848,10683,15990,16384,17427,18498
Eastern Africa,910,Eastern Asia,906,2603.0,5146,11780,12094,40110,61210,45876,34683
Eastern Africa,910,Southern Asia,5501,15898.0,20164,22930,32915,44381,47464,48593,51713
Eastern Africa,910,South-Eastern Asia,920,104.0,613,1142,1080,1023,1146,1163,1182
Eastern Africa,910,Western Asia,922,289.0,269,305,234,253,12790,21137,26462
Eastern Africa,910,Eastern Europe,923,113.0,73,49,87,129,145,145,147
Eastern Africa,910,Northern Europe,924,24203.0,23749,29263,25051,17686,17199,17484,18197
Eastern Africa,910,Southern Europe,925,2113.0,2853,3307,4416,5010,5225,5378,5617
Eastern Africa,910,Western Europe,926,49381.0,63185,81809,95269,103668,108954,117013,124854
Eastern Africa,910,Caribbean,915,20.0,26,33,36,39,43,42,43
Eastern Africa,910,Northern America,905,2160.0,2654,2991,3554,4036,4109,4466,5152
Eastern Africa,910,Australia and New Zealand,927,285.0,277,271,342,473,463,570,689
Middle Africa,911,Australia and New Zealand,1836,9.0,13,16,13,13,10,10,11
Middle Africa,911,Eastern Africa,910,175624.0,1424589,278904,214925,186610,355514,436882,493512
Middle Africa,911,Middle Africa,911,798829.0,692305,865771,894777,1049226,1425332,1570589,1715727
Middle Africa,911,Northern Africa,912,49090.0,63046,76729,288839,320176,348342,401250,1102131
Middle Africa,911,Southern Africa,913,2867.0,3322,3770,4912,5963,6820,7249,7473
Middle Africa,911,Western Africa,914,209046.0,231509,259537,293417,311640,457318,541785,584257
Middle Africa,911,Eastern Asia,906,510.0,630,837,705,1174,1592,1641,1693
Middle Africa,911,Western Asia,922,1156.0,1482,1916,1820,2558,3506,3722,3918
Middle Africa,911,Eastern Europe,923,954.0,1106,1487,976,2097,2712,2701,2698
Middle Africa,911,Northern Europe,924,12.0,26,37,287,235,279,318,352
Middle Africa,911,Southern Europe,925,6292.0,7406,8649,9012,9312,9513,9287,9652
Middle Africa,911,Western Europe,926,38517.0,39957,41944,32984,38995,46570,50500,53723
Middle Africa,911,Caribbean,915,164.0,190,266,169,403,536,531,528
Middle Africa,911,Northern America,905,807.0,1246,1629,2398,2325,2665,2938,3184
Middle Africa,911,Australia and New Zealand,927,9.0,13,16,13,13,10,10,11
Northern Africa,912,Australia and New Zealand,1836,1768.0,1388,1070,1310,1541,746,1963,1919
Northern Africa,912,Eastern Africa,910,1108827.0,916014,724707,461646,581161,620056,1407823,2311007
Northern Africa,912,Middle Africa,911,232694.0,120755,106485,118462,124821,99891,144620,247851
Northern Africa,912,Northern Africa,912,295564.0,282620,273866,259607,269053,295105,340551,842371
Northern Africa,912,Southern Africa,913,669.0,662,672,761,837,645,968,1033
Northern Africa,912,Western Africa,914,37838.0,38148,39420,42757,35036,36072,44222,61013
Northern Africa,912,Central Asia,5500,837.0,1177,1542,1702,1868,2088,3951,4176
Northern Africa,912,Eastern Asia,906,13886.0,7968,7371,7600,11985,5904,15510,43890
Northern Africa,912,Southern Asia,5501,9977.0,10602,11571,12397,13539,10939,14791,16524
Northern Africa,912,South-Eastern Asia,920,22064.0,25251,29045,32076,35659,31006,42436,43199
Northern Africa,912,Western Asia,922,360925.0,431925,509433,606829,656526,757060,879222,916070
Northern Africa,912,Eastern Europe,923,43738.0,32480,22707,28234,33821,11320,44539,43264
Northern Africa,912,Northern Europe,924,18025.0,16761,16473,20022,23833,11829,31555,31287
Northern Africa,912,Southern Europe,925,33782.0,26858,21016,22303,23766,19420,27592,27592
Northern Africa,912,Western Europe,926,84690.0,62713,45292,49949,67917,65398,90972,94706
Northern Africa,912,Central America,916,458.0,485,520,574,631,706,754,797
Northern Africa,912,South America,931,440.0,357,287,342,394,255,493,491
Northern Africa,912,Northern America,905,29079.0,22265,15971,17178,18674,16126,21338,21496
Northern Africa,912,Australia and New Zealand,927,1768.0,1388,1070,1310,1541,746,1963,1919
Southern Africa,913,Australia and New Zealand,1836,6871.0,6086,5404,5105,5098,4926,4783,4817
Southern Africa,913,Eastern Africa,910,347284.0,465299,500894,798322,1209488,1673706,1904262,2031257
Southern Africa,913,Middle Africa,911,41013.0,46569,90908,131668,125040,161643,175164,149942
Southern Africa,913,Northern Africa,912,6254.0,5055,5043,6236,6092,6926,5976,5704
Southern Africa,913,Southern Africa,913,262855.0,227831,245642,259582,274808,292441,314656,327271
Southern Africa,913,Western Africa,914,5931.0,7720,14422,34173,36723,52590,50138,43260
Southern Africa,913,Eastern Asia,906,18797.0,17299,18619,25591,27062,25026,18721,18978
Southern Africa,913,Southern Asia,5501,18587.0,19308,27650,60333,65617,95715,117134,89426
Southern Africa,913,South-Eastern Asia,920,2625.0,2662,2929,3331,4139,4298,4275,4445
Southern Africa,913,Western Asia,922,6788.0,5658,5580,5758,6060,5217,4500,4736
Southern Africa,913,Eastern Europe,923,15913.0,13669,12385,12004,12112,9305,6710,6643
Southern Africa,913,Northern Europe,924,188885.0,143110,120839,106948,95700,84565,74655,66080
Southern Africa,913,Southern Europe,925,49514.0,35429,36660,35833,33284,26372,20351,17522
Southern Africa,913,Western Europe,926,78138.0,65531,58630,55806,56824,50092,43586,41111
Southern Africa,913,Caribbean,915,2055.0,1993,2110,1902,1907,2094,2807,3461
Southern Africa,913,Central America,916,281.0,715,198,127,153,189,234,261
Southern Africa,913,South America,931,3604.0,3400,3443,3562,3928,3913,3884,4041
Southern Africa,913,Northern America,905,9420.0,8190,8127,8731,9198,9909,10948,11704
Southern Africa,913,Australia and New Zealand,927,6871.0,6086,5404,5105,5098,4926,4783,4817
Southern Africa,913,Melanesia,928,12.0,12,12,8,22,59,151,230
Southern Africa,913,Polynesia,957,178.0,136,143,211,349,545,994,1379
Western Africa,914,Australia and New Zealand,1836,17.0,17,19,27,27,45,45,49
Western Africa,914,Eastern Africa,910,1229.0,1560,2212,2254,2998,6359,6606,6859
Western Africa,914,Middle Africa,911,40282.0,42188,43665,94301,82864,112726,146642,157831
Western Africa,914,Northern Africa,912,10328.0,11101,10730,13011,39796,51818,56682,60430
Western Africa,914,Southern Africa,913,271.0,254,247,141,590,2045,2079,2120
Western Africa,914,Western Africa,914,4020105.0,4931605,4840121,5417199,5750606,6472622,6948073,7385357
Western Africa,914,Central Asia,5500,0.0,0,0,0,1488,1832,2146,2409
Western Africa,914,Eastern Asia,906,1544.0,1524,1497,1868,6449,8974,9952,10779
Western Africa,914,Southern Asia,5501,1695.0,1665,1702,1818,2523,3299,3411,3420
Western Africa,914,South-Eastern Asia,920,31.0,35,40,45,1059,1369,1573,1756
Western Africa,914,Western Asia,922,10513.0,10644,10280,6845,10352,12441,13839,14814
Western Africa,914,Eastern Europe,923,1241.0,1211,1151,1383,1375,1402,1512,1615
Western Africa,914,Northern Europe,924,3990.0,3882,3944,2977,2027,2485,2571,2712
Western Africa,914,Southern Europe,925,3077.0,3126,3271,3551,6639,7645,8028,8466
Western Africa,914,Western Europe,926,22356.0,22244,20055,27004,22566,24361,25809,27075
Western Africa,914,Caribbean,915,150.0,192,229,528,4403,9412,9655,9880
Western Africa,914,Central America,916,4.0,5,6,5,3,430,404,391
Western Africa,914,South America,931,1080.0,1184,1080,1134,2805,5977,6258,6514
Western Africa,914,Northern America,905,6845.0,7046,7025,5941,5016,5356,5505,5740
Western Africa,914,Australia and New Zealand,927,17.0,17,19,27,27,45,45,49
Western Africa,914,Melanesia,928,0.0,0,0,0,0,31,25,25
Western Africa,914,Micronesia,954,0.0,0,0,0,0,39,29,28
Western Africa,914,Polynesia,957,0.0,0,0,0,600,1737,1817,1891
Central Asia,5500,Australia and New Zealand,1836,166.0,135,117,112,111,109,107,107
Central Asia,5500,Eastern Africa,910,38.0,31,27,25,24,23,21,21
Central Asia,5500,Northern Africa,912,198.0,160,138,133,132,129,128,128
Central Asia,5500,Western Africa,914,37.0,30,26,24,23,22,20,20
Central Asia,5500,Central Asia,5500,594532.0,709489,866860,914150,930917,1001617,1087978,1151700
Central Asia,5500,Eastern Asia,906,117080.0,139753,161119,180553,202561,227038,255147,275672
Central Asia,5500,Southern Asia,5501,22811.0,31204,33895,27371,27483,28404,29527,30150
Central Asia,5500,South-Eastern Asia,920,410.0,309,205,175,146,130,123,121
Central Asia,5500,Western Asia,922,180540.0,135305,109396,105346,99978,97843,98037,98246
Central Asia,5500,Eastern Europe,923,4891097.0,3495465,2730320,2528731,2344727,2233181,2183354,2142301
Central Asia,5500,Northern Europe,924,28185.0,22765,18087,14854,11965,10255,9265,7994
Central Asia,5500,Western Europe,926,42569.0,32349,21214,18893,16184,15132,14602,14147
Central Asia,5500,Caribbean,915,37.0,30,26,24,23,22,20,20
Central Asia,5500,Northern America,905,1220.0,1118,1055,1033,1023,1009,998,993
Central Asia,5500,Australia and New Zealand,927,166.0,135,117,112,111,109,107,107
Eastern Asia,906,Australia and New Zealand,1836,21118.0,26648,33813,39993,41943,69071,65840,47120
Eastern Asia,906,Eastern Africa,910,2032.0,2498,3015,3589,4380,7149,12847,14814
Eastern Asia,906,Middle Africa,911,872.0,1062,1311,1597,2000,3181,5629,6379
Eastern Asia,906,Northern Africa,912,1977.0,2524,3337,4041,4949,5083,5586,5860
Eastern Asia,906,Southern Africa,913,1000.0,1236,1529,1904,2431,3885,5868,6544
Eastern Asia,906,Western Africa,914,2396.0,4238,5773,7128,8320,11305,16792,19042
Eastern Asia,906,Central Asia,5500,4879.0,7254,10519,14942,22376,48771,96449,102456
Eastern Asia,906,Eastern Asia,906,3124877.0,3396225,3752598,4300832,5058550,5737294,6130775,6165197
Eastern Asia,906,Southern Asia,5501,52610.0,79277,105212,136248,172818,235238,343116,479691
Eastern Asia,906,South-Eastern Asia,920,352462.0,598235,943857,1134102,1292577,2013292,3042763,3540796
Eastern Asia,906,Western Asia,922,4945.0,6001,7382,9200,11583,13115,16189,16826
Eastern Asia,906,Eastern Europe,923,13526.0,17451,23054,27899,32951,38282,58047,85145
Eastern Asia,906,Northern Europe,924,34429.0,41019,49329,55094,58599,68157,68129,64413
Eastern Asia,906,Southern Europe,925,10893.0,12824,12323,14636,17172,24959,25599,22255
Eastern Asia,906,Western Europe,926,31885.0,37108,43911,52478,61689,71248,69306,65364
Eastern Asia,906,Caribbean,915,232.0,277,330,393,473,688,1018,1159
Eastern Asia,906,Central America,916,1797.0,2438,3181,3565,4068,5370,6329,5893
Eastern Asia,906,South America,931,66048.0,209524,310010,371244,323380,253819,298462,296016
Eastern Asia,906,Northern America,905,115296.0,143358,171285,192594,231945,278786,292450,256020
Eastern Asia,906,Australia and New Zealand,927,21118.0,26648,33813,39993,41943,69071,65840,47120
Southern Asia,5501,Australia and New Zealand,1836,2750.0,1818,1148,1662,2787,2712,2589,2521
Southern Asia,5501,Eastern Africa,910,12717.0,8453,5235,4401,4660,4259,4168,4105
Southern Asia,5501,Middle Africa,911,0.0,0,0,0,16,91,281,470
Southern Asia,5501,Northern Africa,912,16.0,148,129,132,222,321,394,1023
Southern Asia,5501,Southern Africa,913,5787.0,5817,5848,5911,6010,5187,4458,3974
Southern Asia,5501,Western Africa,914,1180.0,979,788,709,651,823,737,720
Southern Asia,5501,Central Asia,5500,48313.0,42842,38187,33449,28292,18217,6680,5230
Southern Asia,5501,Eastern Asia,906,190241.0,288503,270599,284413,318432,329560,305302,354553
Southern Asia,5501,Southern Asia,5501,17539131.0,13473196,13225447,11754071,12118304,11497838,10896139,12035310
Southern Asia,5501,South-Eastern Asia,920,658295.0,689659,713274,685677,851627,874169,1521940,2115550
Southern Asia,5501,Western Asia,922,323443.0,300157,260805,194886,190969,157321,138541,148830
Southern Asia,5501,Eastern Europe,923,903.0,920,938,974,1044,921,818,792
Southern Asia,5501,Northern Europe,924,18550.0,28851,39327,46444,53884,56120,54751,71989
Southern Asia,5501,Southern Europe,925,732.0,1302,1882,3088,5727,5534,5608,5675
Southern Asia,5501,Western Europe,926,10775.0,7424,4911,4340,4414,4310,4188,4105
Southern Asia,5501,Caribbean,915,0.0,3,8,18,38,37,36,36
Southern Asia,5501,South America,931,552.0,5387,10221,12165,14083,14919,14628,20097
Southern Asia,5501,Northern America,905,39396.0,38234,37594,48087,66782,68587,66275,82460
Southern Asia,5501,Australia and New Zealand,927,2750.0,1818,1148,1662,2787,2712,2589,2521
Southern Asia,5501,Melanesia,928,2038.0,776,242,168,133,123,115,108
South-Eastern Asia,920,Australia and New Zealand,1836,16581.0,19996,23740,21939,25735,26484,25819,28864
South-Eastern Asia,920,Eastern Africa,910,5.0,54,38,60,1004,2447,5095,4227
South-Eastern Asia,920,Northern Africa,912,0.0,0,0,39,84,428,808,745
South-Eastern Asia,920,Eastern Asia,906,743348.0,762612,740640,777338,947817,1009372,1007405,1190008
South-Eastern Asia,920,Southern Asia,5501,213378.0,277437,360067,629191,1064717,1445944,1487965,1540777
South-Eastern Asia,920,South-Eastern Asia,920,1321648.0,1806384,2705403,3708454,5405824,6056692,6576766,7124955
South-Eastern Asia,920,Western Asia,922,2490.0,3146,4435,2906,4424,9648,18380,17341
South-Eastern Asia,920,Eastern Europe,923,14.0,37,59,46,33,30,30,32
South-Eastern Asia,920,Northern Europe,924,18753.0,19319,20935,57587,95786,106550,115601,125889
South-Eastern Asia,920,Southern Europe,925,265.0,300,338,350,351,291,285,283
South-Eastern Asia,920,Western Europe,926,3409.0,4294,7877,28661,49395,54853,59427,64284
South-Eastern Asia,920,Caribbean,915,85.0,92,101,107,110,29,27,27
South-Eastern Asia,920,South America,931,152.0,165,181,192,197,66,64,63
South-Eastern Asia,920,Northern America,905,32790.0,38029,46468,67195,95773,90589,83379,91186
South-Eastern Asia,920,Australia and New Zealand,927,16581.0,19996,23740,21939,25735,26484,25819,28864
Western Asia,922,Australia and New Zealand,1836,2826.0,3558,4177,5160,6579,6553,6905,7318
Western Asia,922,Eastern Africa,910,184227.0,218167,252761,309850,522865,763130,794131,829748
Western Asia,922,Middle Africa,911,9540.0,10324,11042,6365,6383,7399,9657,10544
Western Asia,922,Northern Africa,912,1908354.0,2055381,2191463,2653612,3714248,5026829,5264901,5688665
Western Asia,922,Southern Africa,913,8792.0,11058,12423,14214,16726,17174,18781,19782
Western Asia,922,Western Africa,914,29744.0,35163,38534,44895,55656,63301,70690,82335
Western Asia,922,Central Asia,5500,143943.0,153887,118757,116207,133236,161084,334072,455942
Western Asia,922,Eastern Asia,906,3505.0,3807,3814,7068,10749,14411,25175,32680
Western Asia,922,Southern Asia,5501,3904130.0,4526369,5180107,6913807,10929006,16176372,17083977,19056306
Western Asia,922,South-Eastern Asia,920,1101342.0,1215145,1428808,1581663,1997554,2446890,2484869,2683867
Western Asia,922,Western Asia,922,3501408.0,4628774,5160345,6041905,8477753,12871602,15412170,15769803
Western Asia,922,Eastern Europe,923,1505710.0,1470667,1309343,1176396,1059097,1060068,1128347,1322922
Western Asia,922,Northern Europe,924,85869.0,96837,100187,108424,134121,142202,152252,168342
Western Asia,922,Southern Europe,925,281095.0,258505,234914,191984,151354,106387,105338,105658
Western Asia,922,Western Europe,926,310727.0,370475,436276,455319,476431,498645,575457,682684
Western Asia,922,Caribbean,915,22.0,33,52,70,96,85,81,85
Western Asia,922,Central America,916,1272.0,1587,1931,2304,2718,2918,3143,3338
Western Asia,922,South America,931,36016.0,44582,51204,57606,64783,69600,75311,79890
Western Asia,922,Northern America,905,75588.0,87918,100164,115354,136698,150529,164435,180223
Western Asia,922,Australia and New Zealand,927,2826.0,3558,4177,5160,6579,6553,6905,7318
Western Asia,922,Melanesia,928,1.0,2,2,3,3,2,1,1
Eastern Europe,923,Australia and New Zealand,1836,1194.0,1375,1616,1974,2328,2835,4122,4881
Eastern Europe,923,Eastern Africa,910,214.0,498,784,967,1146,1477,1932,2311
Eastern Europe,923,Middle Africa,911,115.0,264,428,520,611,724,911,1076
Eastern Europe,923,Northern Africa,912,5533.0,6211,7219,8198,9890,13329,19596,24549
Eastern Europe,923,Southern Africa,913,209.0,410,632,808,1004,1227,1862,2222
Eastern Europe,923,Western Africa,914,421.0,900,1401,1830,2423,2987,3909,4541
Eastern Europe,923,Central Asia,5500,4980389.0,5176160,5221942,5395903,5421528,4727781,4102727,3603689
Eastern Europe,923,Eastern Asia,906,112234.0,115182,116918,122772,132388,105289,90783,78794
Eastern Europe,923,Southern Asia,5501,46855.0,41574,35675,37494,35000,50467,44661,49340
Eastern Europe,923,South-Eastern Asia,920,50686.0,48155,57346,65850,86708,79344,73828,67967
Eastern Europe,923,Western Asia,922,2419706.0,2373930,2260799,2153363,1999443,1672770,1377684,1162988
Eastern Europe,923,Eastern Europe,923,13054510.0,12259838,11477663,10737152,10144379,9168833,8500624,11249822
Eastern Europe,923,Northern Europe,924,497655.0,480509,466304,433695,413591,399939,484682,573890
Eastern Europe,923,Southern Europe,925,80423.0,72130,67812,85931,124352,196159,304003,393054
Eastern Europe,923,Western Europe,926,353594.0,365717,374666,370062,363759,354107,393225,402037
Eastern Europe,923,Caribbean,915,3242.0,3303,3279,3524,3714,3451,3443,3591
Eastern Europe,923,Central America,916,134.0,345,572,747,978,1184,1797,2111
Eastern Europe,923,South America,931,997.0,1595,2337,2986,3798,5543,7300,8713
Eastern Europe,923,Northern America,905,16432.0,21094,28325,34892,42711,53817,73576,86912
Eastern Europe,923,Australia and New Zealand,927,1194.0,1375,1616,1974,2328,2835,4122,4881
Eastern Europe,923,Melanesia,928,1.0,4,4,7,7,37,30,38
Eastern Europe,923,Micronesia,954,1.0,3,5,8,9,19,10,12
Eastern Europe,923,Polynesia,957,5.0,9,12,19,23,14,8,10
Northern Europe,924,Australia and New Zealand,1836,119485.0,142653,173636,188878,201039,199503,198012,197345
Northern Europe,924,Eastern Africa,910,159310.0,201883,274627,348336,474080,570004,638380,678234
Northern Europe,924,Middle Africa,911,1079.0,1683,2581,5137,8894,12721,16772,20773
Northern Europe,924,Northern Africa,912,14871.0,19092,23319,28032,35474,47603,62438,74454
Northern Europe,924,Southern Africa,913,68101.0,97787,142582,176097,211063,230296,252743,272419
Northern Europe,924,Western Africa,914,82635.0,112024,153861,222557,318422,389965,471898,536739
Northern Europe,924,Central Asia,5500,37935.0,30224,30750,30141,28018,25317,25955,26497
Northern Europe,924,Eastern Asia,906,121604.0,169300,267973,369971,487869,487913,482818,476393
Northern Europe,924,Southern Asia,5501,914621.0,1046035,1203547,1505531,1920774,2269259,2689640,3036471
Northern Europe,924,South-Eastern Asia,920,140132.0,169264,205845,276509,392699,460072,517394,562787
Northern Europe,924,Western Asia,922,153933.0,217430,292808,385771,511881,673510,895650,1002995
Northern Europe,924,Eastern Europe,923,1426484.0,1194095,985487,1119892,1676111,2042532,2539249,3482016
Northern Europe,924,Northern Europe,924,1447481.0,1404975,1432802,1499692,1619973,1701946,1748165,1801439
Northern Europe,924,Southern Europe,925,243849.0,308986,374520,437556,526749,698912,960466,1155981
Northern Europe,924,Western Europe,926,380745.0,427874,495695,559167,639024,669566,701714,745669
